table	path	type	description
table	src/schema/table.tsv	table	All of the tables in this project.
column	src/schema/column.tsv	column	Columns for all of the tables.
datatype	src/schema/datatype.tsv	datatype	Datatypes for all of the columns
prefix	src/schema/prefix.tsv		Prefixes used for CURIEs
iedb_taxa	build/iedb_taxa.tsv		Biological taxa for the IEDB that extend the NCBI Taxonomy
organism_core	src/organism_core.tsv		the core structure of the organism tree
organism_tree_tsv	build/organism-tree.tsv		the taxa used by IEDB, with their assigned species and upper nodes
